freq,unit,citizen,sex,age,asyl_app,geo\TIME_PERIOD	2024-04 	2024-05 	2024-06 	2024-07 	2024-08 	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,AT	2250 	2470 	1830 	1765 	1700 	1865 	2455 	1835 	1825 	1915 	1395 	: 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,BE	3090 	3350 	2735 	3510 	3335 	3685 	4380 	3275 	3555 	3520 	3060 	2565 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,BG	735 	790 	1065 	1650 	1995 	1505 	1475 	630 	375 	370 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,CH	2270 	2340 	1870 	2250 	2205 	2355 	2585 	2315 	1850 	1900 	1755 	1815 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,CY	1815 	480 	330 	390 	390 	420 	630 	540 	290 	385 	395 	: 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,CZ	125 	105 	100 	145 	115 	115 	125 	90 	90 	100 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,DE	20505 	19875 	19225 	21215 	20965 	20665 	22420 	18425 	13690 	16570 	12775 	10630 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,DK	185 	155 	175 	175 	165 	220 	240 	255 	155 	195 	135 	: 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,EE	120 	125 	90 	120 	95 	90 	110 	95 	80 	125 	100 	: 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,EL	4330 	3535 	5125 	6370 	6780 	7090 	8465 	8500 	6685 	5970 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,ES	15590 	16475 	15000 	12050 	10755 	12735 	16030 	15135 	11330 	13380 	12975 	: 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,EU27_2020	84535 	84260 	77940 	82985 	76710 	83240 	94545 	81605 	68740 	75000 e	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,FI	205 	245 	210 	230 	235 	260 	270 	220 	230 	175 	185 	170 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,FR	12960 	12465 	12610 	13325 	11865 	13505 	15500 	13425 	13400 	14360 	13065 	12925 e
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,HR	135 	120 	85 	80 	60 	100 	125 	80 	110 	90 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,HU	5 	5 	0 	5 	0 	5 	5 	0 	5 	5 	10 	5 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,IE	2025 	2010 	1405 	1735 	1690 	1560 	1050 	895 	1025 	1085 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,IS	160 	190 	175 	160 	130 	130 	145 	125 	125 	115 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,IT	14135 	15525 	12325 	13935 	10105 	12565 	14490 	12260 	10250 	11530 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,LI	10 	5 	0 	10 	5 	5 	10 	5 	5 	5 	5 	5 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,LT	20 	30 	20 	25 	40 	20 	15 	30 	20 	25 	30 	20 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,LU	135 	165 	130 	175 	175 	190 	260 	215 	255 	200 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,ASY_APP,LV	80 	105 	70 	125 	235 	95 	85 	30 	60 	50 	: 	: 
