,freq,citizen,sex,unit,age,asyl_app,geo,year,applications
0,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2013,17500.0
1,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2013,21030.0
2,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2013,7145.0
3,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CH,2013,21305.0
4,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CY,2013,1255.0
5,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CZ,2013,695.0
6,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,DE,2013,126705.0
7,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,DK,2013,7170.0
8,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,EE,2013,95.0
9,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,EL,2013,8225.0
10,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,ES,2013,4485.0
12,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,FI,2013,3210.0
13,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,FR,2013,66265.0
14,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,HR,2013,1080.0
15,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,HU,2013,18895.0
16,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IE,2013,945.0
17,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IS,2013,125.0
18,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IT,2013,26620.0
19,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LI,2013,55.0
20,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LT,2013,400.0
21,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LU,2013,1070.0
22,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LV,2013,195.0
23,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,ME,2013,
24,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,MT,2013,2250.0
25,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,NL,2013,13060.0
26,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,NO,2013,11930.0
27,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,PL,2013,15240.0
28,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,PT,2013,500.0
29,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,RO,2013,1495.0
30,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SE,2013,54270.0
31,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SI,2013,270.0
32,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SK,2013,440.0
33,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,UK,2013,30585.0
34,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,AT,2013,
35,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,BE,2013,11965.0
36,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,BG,2013,6980.0
37,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,CH,2013,19315.0
38,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,CY,2013,1150.0
39,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,CZ,2013,490.0
40,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,DE,2013,109375.0
41,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,DK,2013,7170.0
42,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,EE,2013,95.0
43,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,EL,2013,7860.0
44,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,ES,2013,4285.0
46,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,FI,2013,2985.0
47,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,FR,2013,60475.0
48,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,HR,2013,1045.0
49,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,HU,2013,18565.0
50,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IE,2013,940.0
51,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IS,2013,
52,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IT,2013,25720.0
53,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LI,2013,
54,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LT,2013,250.0
55,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LU,2013,990.0
56,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LV,2013,185.0
57,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,ME,2013,
58,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,MT,2013,2200.0
59,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,NL,2013,9815.0
60,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,NO,2013,11430.0
61,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,PL,2013,13970.0
62,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,PT,2013,500.0
63,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,RO,2013,1405.0
64,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SE,2013,49230.0
65,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SI,2013,240.0
66,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SK,2013,290.0
67,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,UK,2013,29640.0
68,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,AT,2013,
69,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,BE,2013,
70,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,BG,2013,
71,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,CH,2013,
